ScheduleYearName,EndMonth,EndDay,ScheduleWk,ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
DataElevator,12,31,DataElevatorWk,DataElevatorWk,DataElevatorWD,DataElevatorWD,DataElevatorWD,DataElevatorWD,DataElevatorWD,DataElevatorSat,DataElevatorSun,DataElevatorSun,OffDay,OnDay
DataHtgSetpt,12,31,DataHtgSetptWk,DataHtgSetptWk,DataHtgSetptWD,DataHtgSetptWD,DataHtgSetptWD,DataHtgSetptWD,DataHtgSetptWD,DataHtgSetptSat,DataHtgSetptSun,DataHtgSetptSun,DataHtgSetptWD,DataHtgSetptWD
DataClgSetpt,12,31,DataClgSetptWk,DataClgSetptWk,DataClgSetptWD,DataClgSetptWD,DataClgSetptWD,DataClgSetptWD,DataClgSetptWD,DataClgSetptSat,DataClgSetptSun,DataClgSetptSun,DataClgSetptWD,DataClgSetptWD
DataInfiltration,12,31,DataInfiltrationWk,DataInfiltrationWk,DataInfiltrationWD,DataInfiltrationWD,DataInfiltrationWD,DataInfiltrationWD,DataInfiltrationWD,DataInfiltrationSat,DataInfiltrationSun,DataInfiltrationSun,DataInfiltrationWD,DataInfiltrationWD
DataWtrHtrSetpt,12,31,DataWtrHtrSetptWk,DataWtrHtrSetptWk,DataWtrHtrSetptWD,DataWtrHtrSetptWD,DataWtrHtrSetptWD,DataWtrHtrSetptWD,DataWtrHtrSetptWD,DataWtrHtrSetptSat,DataWtrHtrSetptSun,DataWtrHtrSetptSun,DataWtrHtrSetptWD,DataWtrHtrSetptWD
DataEscalator,12,31,DataEscalatorWk,DataEscalatorWk,DataEscalatorWD,DataEscalatorWD,DataEscalatorWD,DataEscalatorWD,DataEscalatorWD,DataEscalatorSat,DataEscalatorSun,DataEscalatorSun,OffDay,OnDay
DataGasEquip,12,31,DataGasEquipWk,DataGasEquipWk,DataGasEquipWD,DataGasEquipWD,DataGasEquipWD,DataGasEquipWD,DataGasEquipWD,DataGasEquipSat,DataGasEquipSun,DataGasEquipSun,OffDay,OnDay
DataRefrigeration,12,31,DataRefrigerationWk,DataRefrigerationWk,DataRefrigerationWD,DataRefrigerationWD,DataRefrigerationWD,DataRefrigerationWD,DataRefrigerationWD,DataRefrigerationSat,DataRefrigerationSun,DataRefrigerationSun,DataRefrigerationSun,DataRefrigerationWD
HealthOccupancy,12,31,HealthOccupancyWk,HealthOccupancyWk,HealthOccupancyWD,HealthOccupancyWD,HealthOccupancyWD,HealthOccupancyWD,HealthOccupancyWD,HealthOccupancySat,HealthOccupancySun,HealthOccupancySun,OffDay,OnDay
HealthLights,12,31,HealthLightsWk,HealthLightsWk,HealthLightsWD,HealthLightsWD,HealthLightsWD,HealthLightsWD,HealthLightsWD,HealthLightsSat,HealthLightsSun,HealthLightsSun,OffDay,OnDay
