ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
HealthHtgSetptWk,HealthHtgSetptWD,HealthHtgSetptWD,HealthHtgSetptWD,HealthHtgSetptWD,HealthHtgSetptWD,HealthHtgSetptSat,HealthHtgSetptSun,HealthHtgSetptSun,HealthHtgSetptWD,HealthHtgSetptWD
HealthClgSetptWk,HealthClgSetptWD,HealthClgSetptWD,HealthClgSetptWD,HealthClgSetptWD,HealthClgSetptWD,HealthClgSetptSat,HealthClgSetptSun,HealthClgSetptSun,HealthClgSetptWD,HealthClgSetptWD
HealthInfiltrationWk,HealthInfiltrationWD,HealthInfiltrationWD,HealthInfiltrationWD,HealthInfiltrationWD,HealthInfiltrationWD,HealthInfiltrationSat,HealthInfiltrationSun,HealthInfiltrationSun,HealthInfiltrationWD,HealthInfiltrationWD
HealthWtrHtrSetptWk,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD,HealthWtrHtrSetptSat,HealthWtrHtrSetptSun,HealthWtrHtrSetptSun,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD
HealthEscalatorWk,HealthEscalatorWD,HealthEscalatorWD,HealthEscalatorWD,HealthEscalatorWD,HealthEscalatorWD,HealthEscalatorSat,HealthEscalatorSun,HealthEscalatorSun,OffDay,OnDay
LabOccupancyWk,LabOccupancyWD,LabOccupancyWD,LabOccupancyWD,LabOccupancyWD,LabOccupancyWD,LabOccupancySat,LabOccupancySun,LabOccupancySun,OffDay,OnDay
LabLightsWk,LabLightsWD,LabLightsWD,LabLightsWD,LabLightsWD,LabLightsWD,LabLightsSat,LabLightsSun,LabLightsSun,OffDay,OnDay
LabReceptacleWk,LabReceptacleWD,LabReceptacleWD,LabReceptacleWD,LabReceptacleWD,LabReceptacleWD,LabReceptacleSat,LabReceptacleSun,LabReceptacleSun,OffDay,OnDay
LabHVACAvailWk,LabHVACAvailWD,LabHVACAvailWD,LabHVACAvailWD,LabHVACAvailWD,LabHVACAvailWD,LabHVACAvailSat,LabHVACAvailSun,LabHVACAvailSun,OnDay,OnDay
LabServiceHotWaterWk,LabServiceHotWaterWD,LabServiceHotWaterWD,LabServiceHotWaterWD,LabServiceHotWaterWD,LabServiceHotWaterWD,LabServiceHotWaterSat,LabServiceHotWaterSun,LabServiceHotWaterSun,OffDay,OnDay
LabElevatorWk,LabElevatorWD,LabElevatorWD,LabElevatorWD,LabElevatorWD,LabElevatorWD,LabElevatorSat,LabElevatorSun,LabElevatorSun,OffDay,OnDay
LabExhaustHoodCAVWk,LabExhaustHoodCAVWD,LabExhaustHoodCAVWD,LabExhaustHoodCAVWD,LabExhaustHoodCAVWD,LabExhaustHoodCAVWD,LabExhaustHoodCAVSat,LabExhaustHoodCAVSun,LabExhaustHoodCAVSun,LabExhaustHoodCAVSun,LabExhaustHoodCAVWD
LabExhaustHoodVAVWk,LabExhaustHoodVAVWD,LabExhaustHoodVAVWD,LabExhaustHoodVAVWD,LabExhaustHoodVAVWD,LabExhaustHoodVAVWD,LabExhaustHoodVAVSat,LabExhaustHoodVAVSun,LabExhaustHoodVAVSun,LabExhaustHoodVAVSun,LabExhaustHoodVAVWD
LabProcessEquipmentTypicalUseWk,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseSat,LabProcessEquipmentTypicalUseSun,LabProcessEquipmentTypicalUseSun,LabProcessEquipmentTypicalUseSun,LabProcessEquipmentTypicalUseWD
LabProcessEquipmentHighUseWk,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseSat,LabProcessEquipmentHighUseSun,LabProcessEquipmentHighUseSun,LabProcessEquipmentHighUseSun,LabProcessEquipmentHighUseWD
LabRefrigerationWk,LabRefrigerationWD,LabRefrigerationWD,LabRefrigerationWD,LabRefrigerationWD,LabRefrigerationWD,LabRefrigerationSat,LabRefrigerationSun,LabRefrigerationSun,LabRefrigerationSun,LabRefrigerationWD
LabGasEquipWk,LabGasEquipWD,LabGasEquipWD,LabGasEquipWD,LabGasEquipWD,LabGasEquipWD,LabGasEquipSat,LabGasEquipSun,LabGasEquipSun,OffDay,OnDay
LabHtgSetptWk,LabHtgSetptWD,LabHtgSetptWD,LabHtgSetptWD,LabHtgSetptWD,LabHtgSetptWD,LabHtgSetptSat,LabHtgSetptSun,LabHtgSetptSun,LabHtgSetptWD,LabHtgSetptWD
LabClgSetptWk,LabClgSetptWD,LabClgSetptWD,LabClgSetptWD,LabClgSetptWD,LabClgSetptWD,LabClgSetptSat,LabClgSetptSun,LabClgSetptSun,LabClgSetptWD,LabClgSetptWD
LabInfiltrationWk,LabInfiltrationWD,LabInfiltrationWD,LabInfiltrationWD,LabInfiltrationWD,LabInfiltrationWD,LabInfiltrationSat,LabInfiltrationSun,LabInfiltrationSun,LabInfiltrationWD,LabInfiltrationWD
LabWtrHtrSetptWk,LabWtrHtrSetptWD,LabWtrHtrSetptWD,LabWtrHtrSetptWD,LabWtrHtrSetptWD,LabWtrHtrSetptWD,LabWtrHtrSetptSat,LabWtrHtrSetptSun,LabWtrHtrSetptSun,LabWtrHtrSetptWD,LabWtrHtrSetptWD
ManufacturingOccupancyWk,ManufacturingOccupancyWD,ManufacturingOccupancyWD,ManufacturingOccupancyWD,ManufacturingOccupancyWD,ManufacturingOccupancyWD,ManufacturingOccupancySat,ManufacturingOccupancySun,ManufacturingOccupancySun,OffDay,OnDay
ManufacturingLightsWk,ManufacturingLightsWD,ManufacturingLightsWD,ManufacturingLightsWD,ManufacturingLightsWD,ManufacturingLightsWD,ManufacturingLightsSat,ManufacturingLightsSun,ManufacturingLightsSun,OffDay,OnDay
ManufacturingReceptacleWk,ManufacturingReceptacleWD,ManufacturingReceptacleWD,ManufacturingReceptacleWD,ManufacturingReceptacleWD,ManufacturingReceptacleWD,ManufacturingReceptacleSat,ManufacturingReceptacleSun,ManufacturingReceptacleSun,OffDay,OnDay
ManufacturingHVACAvailWk,ManufacturingHVACAvailWD,ManufacturingHVACAvailWD,ManufacturingHVACAvailWD,ManufacturingHVACAvailWD,ManufacturingHVACAvailWD,ManufacturingHVACAvailSat,ManufacturingHVACAvailSun,ManufacturingHVACAvailSun,OnDay,OnDay
ManufacturingServiceHotWaterWk,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterSat,ManufacturingServiceHotWaterSun,ManufacturingServiceHotWaterSun,OffDay,OnDay
ManufacturingElevatorWk,ManufacturingElevatorWD,ManufacturingElevatorWD,ManufacturingElevatorWD,ManufacturingElevatorWD,ManufacturingElevatorWD,ManufacturingElevatorSat,ManufacturingElevatorSun,ManufacturingElevatorSun,OffDay,OnDay
ManufacturingRefrigerationWk,ManufacturingRefrigerationWD,ManufacturingRefrigerationWD,ManufacturingRefrigerationWD,ManufacturingRefrigerationWD,ManufacturingRefrigerationWD,ManufacturingRefrigerationSat,ManufacturingRefrigerationSun,ManufacturingRefrigerationSun,ManufacturingRefrigerationSun,ManufacturingRefrigerationWD
ManufacturingGasEquipWk,ManufacturingGasEquipWD,ManufacturingGasEquipWD,ManufacturingGasEquipWD,ManufacturingGasEquipWD,ManufacturingGasEquipWD,ManufacturingGasEquipSat,ManufacturingGasEquipSun,ManufacturingGasEquipSun,OffDay,OnDay
ManufacturingHtgSetptWk,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD,ManufacturingHtgSetptSat,ManufacturingHtgSetptSun,ManufacturingHtgSetptSun,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD
ManufacturingClgSetptWk,ManufacturingClgSetptWD,ManufacturingClgSetptWD,ManufacturingClgSetptWD,ManufacturingClgSetptWD,ManufacturingClgSetptWD,ManufacturingClgSetptSat,ManufacturingClgSetptSun,ManufacturingClgSetptSun,ManufacturingClgSetptWD,ManufacturingClgSetptWD
ManufacturingInfiltrationWk,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD,ManufacturingInfiltrationSat,ManufacturingInfiltrationSun,ManufacturingInfiltrationSun,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD
ManufacturingWtrHtrSetptWk,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptSat,ManufacturingWtrHtrSetptSun,ManufacturingWtrHtrSetptSun,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD
ManufacturingEscalatorWk,ManufacturingEscalatorWD,ManufacturingEscalatorWD,ManufacturingEscalatorWD,ManufacturingEscalatorWD,ManufacturingEscalatorWD,ManufacturingEscalatorSat,ManufacturingEscalatorSun,ManufacturingEscalatorSun,OffDay,OnDay
OfficeOccupancyWk,OfficeOccupancyWD,OfficeOccupancyWD,OfficeOccupancyWD,OfficeOccupancyWD,OfficeOccupancyWD,OfficeOccupancySat,OfficeOccupancySun,OfficeOccupancySun,OffDay,OnDay
OfficeLightsWk,OfficeLightsWD,OfficeLightsWD,OfficeLightsWD,OfficeLightsWD,OfficeLightsWD,OfficeLightsSat,OfficeLightsSun,OfficeLightsSun,OffDay,OnDay
OfficeReceptacleWk,OfficeReceptacleWD,OfficeReceptacleWD,OfficeReceptacleWD,OfficeReceptacleWD,OfficeReceptacleWD,OfficeReceptacleSat,OfficeReceptacleSun,OfficeReceptacleSun,OffDay,OnDay
OfficeHVACAvailWk,OfficeHVACAvailWD,OfficeHVACAvailWD,OfficeHVACAvailWD,OfficeHVACAvailWD,OfficeHVACAvailWD,OfficeHVACAvailSat,OfficeHVACAvailSun,OfficeHVACAvailSun,OnDay,OnDay
OfficeServiceHotWaterWk,OfficeServiceHotWaterWD,OfficeServiceHotWaterWD,OfficeServiceHotWaterWD,OfficeServiceHotWaterWD,OfficeServiceHotWaterWD,OfficeServiceHotWaterSat,OfficeServiceHotWaterSun,OfficeServiceHotWaterSun,OffDay,OnDay
OfficeElevatorWk,OfficeElevatorWD,OfficeElevatorWD,OfficeElevatorWD,OfficeElevatorWD,OfficeElevatorWD,OfficeElevatorSat,OfficeElevatorSun,OfficeElevatorSun,OffDay,OnDay
OfficeRefrigerationWk,OfficeRefrigerationWD,OfficeRefrigerationWD,OfficeRefrigerationWD,OfficeRefrigerationWD,OfficeRefrigerationWD,OfficeRefrigerationSat,OfficeRefrigerationSun,OfficeRefrigerationSun,OfficeRefrigerationSun,OfficeRefrigerationWD
OfficeHtgSetptWk,OfficeHtgSetptWD,OfficeHtgSetptWD,OfficeHtgSetptWD,OfficeHtgSetptWD,OfficeHtgSetptWD,OfficeHtgSetptSat,OfficeHtgSetptSun,OfficeHtgSetptSun,OfficeHtgSetptWD,OfficeHtgSetptWD
OfficeClgSetptWk,OfficeClgSetptWD,OfficeClgSetptWD,OfficeClgSetptWD,OfficeClgSetptWD,OfficeClgSetptWD,OfficeClgSetptSat,OfficeClgSetptSun,OfficeClgSetptSun,OfficeClgSetptWD,OfficeClgSetptWD
OfficeInfiltrationWk,OfficeInfiltrationWD,OfficeInfiltrationWD,OfficeInfiltrationWD,OfficeInfiltrationWD,OfficeInfiltrationWD,OfficeInfiltrationSat,OfficeInfiltrationSun,OfficeInfiltrationSun,OfficeInfiltrationWD,OfficeInfiltrationWD
OfficeEscalatorWk,OfficeEscalatorWD,OfficeEscalatorWD,OfficeEscalatorWD,OfficeEscalatorWD,OfficeEscalatorWD,OfficeEscalatorSat,OfficeEscalatorSun,OfficeEscalatorSun,OffDay,OnDay
OfficeWtrHtrSetptWk,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptSat,OfficeWtrHtrSetptSun,OfficeWtrHtrSetptSun,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD
OfficeGasEquipWk,OfficeGasEquipWD,OfficeGasEquipWD,OfficeGasEquipWD,OfficeGasEquipWD,OfficeGasEquipWD,OfficeGasEquipSat,OfficeGasEquipSun,OfficeGasEquipSun,OffDay,OnDay
ParkingOccupancyWk,ParkingOccupancyWD,ParkingOccupancyWD,ParkingOccupancyWD,ParkingOccupancyWD,ParkingOccupancyWD,ParkingOccupancySat,ParkingOccupancySun,ParkingOccupancySun,OffDay,OnDay
ParkingLightsWk,ParkingLightsWD,ParkingLightsWD,ParkingLightsWD,ParkingLightsWD,ParkingLightsWD,ParkingLightsSat,ParkingLightsSun,ParkingLightsSun,OffDay,OnDay
ParkingReceptacleWk,ParkingReceptacleWD,ParkingReceptacleWD,ParkingReceptacleWD,ParkingReceptacleWD,ParkingReceptacleWD,ParkingReceptacleSat,ParkingReceptacleSun,ParkingReceptacleSun,OffDay,OnDay
ParkingHVACAvailWk,ParkingHVACAvailWD,ParkingHVACAvailWD,ParkingHVACAvailWD,ParkingHVACAvailWD,ParkingHVACAvailWD,ParkingHVACAvailSat,ParkingHVACAvailSun,ParkingHVACAvailSun,OnDay,OnDay
ParkingServiceHotWaterWk,ParkingServiceHotWaterWD,ParkingServiceHotWaterWD,ParkingServiceHotWaterWD,ParkingServiceHotWaterWD,ParkingServiceHotWaterWD,ParkingServiceHotWaterSat,ParkingServiceHotWaterSun,ParkingServiceHotWaterSun,OffDay,OnDay
ParkingElevatorWk,ParkingElevatorWD,ParkingElevatorWD,ParkingElevatorWD,ParkingElevatorWD,ParkingElevatorWD,ParkingElevatorSat,ParkingElevatorSun,ParkingElevatorSun,OffDay,OnDay
ParkingHtgSetptWk,ParkingHtgSetptWD,ParkingHtgSetptWD,ParkingHtgSetptWD,ParkingHtgSetptWD,ParkingHtgSetptWD,ParkingHtgSetptSat,ParkingHtgSetptSun,ParkingHtgSetptSun,ParkingHtgSetptWD,ParkingHtgSetptWD
ParkingClgSetptWk,ParkingClgSetptWD,ParkingClgSetptWD,ParkingClgSetptWD,ParkingClgSetptWD,ParkingClgSetptWD,ParkingClgSetptSat,ParkingClgSetptSun,ParkingClgSetptSun,ParkingClgSetptWD,ParkingClgSetptWD
ParkingInfiltrationWk,ParkingInfiltrationWD,ParkingInfiltrationWD,ParkingInfiltrationWD,ParkingInfiltrationWD,ParkingInfiltrationWD,ParkingInfiltrationSat,ParkingInfiltrationSun,ParkingInfiltrationSun,ParkingInfiltrationWD,ParkingInfiltrationWD
ParkingEscalatorWk,ParkingEscalatorWD,ParkingEscalatorWD,ParkingEscalatorWD,ParkingEscalatorWD,ParkingEscalatorWD,ParkingEscalatorSat,ParkingEscalatorSun,ParkingEscalatorSun,OffDay,OnDay
ParkingGasEquipWk,ParkingGasEquipWD,ParkingGasEquipWD,ParkingGasEquipWD,ParkingGasEquipWD,ParkingGasEquipWD,ParkingGasEquipSat,ParkingGasEquipSun,ParkingGasEquipSun,OffDay,OnDay
ParkingRefrigerationWk,ParkingRefrigerationWD,ParkingRefrigerationWD,ParkingRefrigerationWD,ParkingRefrigerationWD,ParkingRefrigerationWD,ParkingRefrigerationSat,ParkingRefrigerationSun,ParkingRefrigerationSun,ParkingRefrigerationSun,ParkingRefrigerationWD
ParkingWtrHtrSetptWk,ParkingWtrHtrSetptWD,ParkingWtrHtrSetptWD,ParkingWtrHtrSetptWD,ParkingWtrHtrSetptWD,ParkingWtrHtrSetptWD,ParkingWtrHtrSetptSat,ParkingWtrHtrSetptSun,ParkingWtrHtrSetptSun,ParkingWtrHtrSetptWD,ParkingWtrHtrSetptWD
ResidentialCommonOccupancyWk,ResidentialCommonOccupancyWD,ResidentialCommonOccupancyWD,ResidentialCommonOccupancyWD,ResidentialCommonOccupancyWD,ResidentialCommonOccupancyWD,ResidentialCommonOccupancySat,ResidentialCommonOccupancySun,ResidentialCommonOccupancySun,OffDay,OnDay
ResidentialCommonLightsWk,ResidentialCommonLightsWD,ResidentialCommonLightsWD,ResidentialCommonLightsWD,ResidentialCommonLightsWD,ResidentialCommonLightsWD,ResidentialCommonLightsSat,ResidentialCommonLightsSun,ResidentialCommonLightsSun,OffDay,OnDay
ResidentialCommonReceptacleWk,ResidentialCommonReceptacleWD,ResidentialCommonReceptacleWD,ResidentialCommonReceptacleWD,ResidentialCommonReceptacleWD,ResidentialCommonReceptacleWD,ResidentialCommonReceptacleSat,ResidentialCommonReceptacleSun,ResidentialCommonReceptacleSun,OffDay,OnDay
ResidentialCommonHVACAvailWk,ResidentialCommonHVACAvailWD,ResidentialCommonHVACAvailWD,ResidentialCommonHVACAvailWD,ResidentialCommonHVACAvailWD,ResidentialCommonHVACAvailWD,ResidentialCommonHVACAvailSat,ResidentialCommonHVACAvailSun,ResidentialCommonHVACAvailSun,OnDay,OnDay
ResidentialCommonServiceHotWaterWk,ResidentialCommonServiceHotWaterWD,ResidentialCommonServiceHotWaterWD,ResidentialCommonServiceHotWaterWD,ResidentialCommonServiceHotWaterWD,ResidentialCommonServiceHotWaterWD,ResidentialCommonServiceHotWaterSat,ResidentialCommonServiceHotWaterSun,ResidentialCommonServiceHotWaterSun,OffDay,OnDay
ResidentialCommonGasEquipWk,ResidentialCommonGasEquipWD,ResidentialCommonGasEquipWD,ResidentialCommonGasEquipWD,ResidentialCommonGasEquipWD,ResidentialCommonGasEquipWD,ResidentialCommonGasEquipSat,ResidentialCommonGasEquipSun,ResidentialCommonGasEquipSun,OffDay,OnDay
ResidentialCommonHtgSetptWk,ResidentialCommonHtgSetptWD,ResidentialCommonHtgSetptWD,ResidentialCommonHtgSetptWD,ResidentialCommonHtgSetptWD,ResidentialCommonHtgSetptWD,ResidentialCommonHtgSetptSat,ResidentialCommonHtgSetptSun,ResidentialCommonHtgSetptSun,ResidentialCommonHtgSetptWD,ResidentialCommonHtgSetptWD
ResidentialCommonClgSetptWk,ResidentialCommonClgSetptWD,ResidentialCommonClgSetptWD,ResidentialCommonClgSetptWD,ResidentialCommonClgSetptWD,ResidentialCommonClgSetptWD,ResidentialCommonClgSetptSat,ResidentialCommonClgSetptSun,ResidentialCommonClgSetptSun,ResidentialCommonClgSetptWD,ResidentialCommonClgSetptWD
ResidentialCommonInfiltrationWk,ResidentialCommonInfiltrationWD,ResidentialCommonInfiltrationWD,ResidentialCommonInfiltrationWD,ResidentialCommonInfiltrationWD,ResidentialCommonInfiltrationWD,ResidentialCommonInfiltrationSat,ResidentialCommonInfiltrationSun,ResidentialCommonInfiltrationSun,ResidentialCommonInfiltrationWD,ResidentialCommonInfiltrationWD
ResidentialCommonWtrHtrSetptWk,ResidentialCommonWtrHtrSetptWD,ResidentialCommonWtrHtrSetptWD,ResidentialCommonWtrHtrSetptWD,ResidentialCommonWtrHtrSetptWD,ResidentialCommonWtrHtrSetptWD,ResidentialCommonWtrHtrSetptSat,ResidentialCommonWtrHtrSetptSun,ResidentialCommonWtrHtrSetptSun,ResidentialCommonWtrHtrSetptWD,ResidentialCommonWtrHtrSetptWD
ResidentialCommonElevatorWk,ResidentialCommonElevatorWD,ResidentialCommonElevatorWD,ResidentialCommonElevatorWD,ResidentialCommonElevatorWD,ResidentialCommonElevatorWD,ResidentialCommonElevatorSat,ResidentialCommonElevatorSun,ResidentialCommonElevatorSun,OffDay,OnDay
ResidentialCommonEscalatorWk,ResidentialCommonEscalatorWD,ResidentialCommonEscalatorWD,ResidentialCommonEscalatorWD,ResidentialCommonEscalatorWD,ResidentialCommonEscalatorWD,ResidentialCommonEscalatorSat,ResidentialCommonEscalatorSun,ResidentialCommonEscalatorSun,OffDay,OnDay
ResidentialCommonRefrigerationWk,ResidentialCommonRefrigerationWD,ResidentialCommonRefrigerationWD,ResidentialCommonRefrigerationWD,ResidentialCommonRefrigerationWD,ResidentialCommonRefrigerationWD,ResidentialCommonRefrigerationSat,ResidentialCommonRefrigerationSun,ResidentialCommonRefrigerationSun,ResidentialCommonRefrigerationSun,ResidentialCommonRefrigerationWD
ResidentialLivingOccupancyWk,ResidentialLivingOccupancyWD,ResidentialLivingOccupancyWD,ResidentialLivingOccupancyWD,ResidentialLivingOccupancyWD,ResidentialLivingOccupancyWD,ResidentialLivingOccupancySat,ResidentialLivingOccupancySun,ResidentialLivingOccupancySun,OffDay,OnDay
ResidentialLivingLightsWk,ResidentialLivingLightsWD,ResidentialLivingLightsWD,ResidentialLivingLightsWD,ResidentialLivingLightsWD,ResidentialLivingLightsWD,ResidentialLivingLightsSat,ResidentialLivingLightsSun,ResidentialLivingLightsSun,OffDay,OnDay
ResidentialLivingReceptacleWk,ResidentialLivingReceptacleWD,ResidentialLivingReceptacleWD,ResidentialLivingReceptacleWD,ResidentialLivingReceptacleWD,ResidentialLivingReceptacleWD,ResidentialLivingReceptacleSat,ResidentialLivingReceptacleSun,ResidentialLivingReceptacleSun,OffDay,OnDay
ResidentialLivingHVACAvailWk,ResidentialLivingHVACAvailWD,ResidentialLivingHVACAvailWD,ResidentialLivingHVACAvailWD,ResidentialLivingHVACAvailWD,ResidentialLivingHVACAvailWD,ResidentialLivingHVACAvailSat,ResidentialLivingHVACAvailSun,ResidentialLivingHVACAvailSun,OnDay,OnDay
ResidentialLivingServiceHotWaterWk,ResidentialLivingServiceHotWaterWD,ResidentialLivingServiceHotWaterWD,ResidentialLivingServiceHotWaterWD,ResidentialLivingServiceHotWaterWD,ResidentialLivingServiceHotWaterWD,ResidentialLivingServiceHotWaterSat,ResidentialLivingServiceHotWaterSun,ResidentialLivingServiceHotWaterSun,OffDay,OnDay
ResidentialLivingGasEquipWk,ResidentialLivingGasEquipWD,ResidentialLivingGasEquipWD,ResidentialLivingGasEquipWD,ResidentialLivingGasEquipWD,ResidentialLivingGasEquipWD,ResidentialLivingGasEquipSat,ResidentialLivingGasEquipSun,ResidentialLivingGasEquipSun,OffDay,OnDay
ResidentialLivingHtgSetptWk,ResidentialLivingHtgSetptWD,ResidentialLivingHtgSetptWD,ResidentialLivingHtgSetptWD,ResidentialLivingHtgSetptWD,ResidentialLivingHtgSetptWD,ResidentialLivingHtgSetptSat,ResidentialLivingHtgSetptSun,ResidentialLivingHtgSetptSun,ResidentialLivingHtgSetptWD,ResidentialLivingHtgSetptWD
ResidentialLivingClgSetptWk,ResidentialLivingClgSetptWD,ResidentialLivingClgSetptWD,ResidentialLivingClgSetptWD,ResidentialLivingClgSetptWD,ResidentialLivingClgSetptWD,ResidentialLivingClgSetptSat,ResidentialLivingClgSetptSun,ResidentialLivingClgSetptSun,ResidentialLivingClgSetptWD,ResidentialLivingClgSetptWD
ResidentialLivingInfiltrationWk,ResidentialLivingInfiltrationWD,ResidentialLivingInfiltrationWD,ResidentialLivingInfiltrationWD,ResidentialLivingInfiltrationWD,ResidentialLivingInfiltrationWD,ResidentialLivingInfiltrationSat,ResidentialLivingInfiltrationSun,ResidentialLivingInfiltrationSun,ResidentialLivingInfiltrationWD,ResidentialLivingInfiltrationWD
