FuncType,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHtgRt,IntLPDReg,CodeVentPerArea,CodeTotalVentPerArea,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef
Gymnasium/Sports Arena,66.67,0.5,255,875,0.5,0.18,1,0.15,0.5,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt
High-Rise Residential Living Spaces,5,0.5,245,155,0.5,0,0.5,0.06,0,150,150,0.6824,0,20,200,1.5,2,ResidentialLiving,ResidentialLivingOccupancy,ResidentialLivingReceptacle,ResidentialLivingServiceHotWater,ResidentialLivingLights,ResidentialLivingGasEquip,ResidentialLivingRefrigeration,ResidentialLivingInfiltration,ResidentialLivingHVACAvail,ResidentialLivingHtgSetpt,ResidentialLivingClgSetpt,ResidentialLivingElevator,ResidentialLivingEscalator,ResidentialLivingWtrHtrSetpt
Hotel Function Area,142.86,0.5,250,200,0.5,0.096,1.5,0.15,1.071428571,150,150,0,0,50,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt
Hotel/Motel Guest Room,5,0.5,245,155,0.5,4.48,0.5,0.06,0,150,150,0,0,20,200,1.5,2,ResidentialLiving,ResidentialLivingOccupancy,ResidentialLivingReceptacle,ResidentialLivingServiceHotWater,ResidentialLivingLights,ResidentialLivingGasEquip,ResidentialLivingRefrigeration,ResidentialLivingInfiltration,ResidentialLivingHVACAvail,ResidentialLivingHtgSetpt,ResidentialLivingClgSetpt,ResidentialLivingElevator,ResidentialLivingEscalator,ResidentialLivingWtrHtrSetpt
"Housing, Public and Common Areas: Multi-family, Dormitory",20,0.5,250,250,0.5,0.192,1,0.15,0.15,150,150,0,0,200,500,1.5,2,ResidentialCommon,ResidentialCommonOccupancy,ResidentialCommonReceptacle,ResidentialCommonServiceHotWater,ResidentialCommonLights,ResidentialCommonGasEquip,ResidentialCommonRefrigeration,ResidentialCommonInfiltration,ResidentialCommonHVACAvail,ResidentialCommonHtgSetpt,ResidentialCommonClgSetpt,ResidentialCommonElevator,ResidentialCommonEscalator,ResidentialCommonWtrHtrSetpt
"Housing, Public and Common Areas: Senior Housing",10,0.5,250,250,0.5,0.192,1.5,0.15,0.15,150,150,0,0,400,1000,1.5,2,ResidentialCommon,ResidentialCommonOccupancy,ResidentialCommonReceptacle,ResidentialCommonServiceHotWater,ResidentialCommonLights,ResidentialCommonGasEquip,ResidentialCommonRefrigeration,ResidentialCommonInfiltration,ResidentialCommonHVACAvail,ResidentialCommonHtgSetpt,ResidentialCommonClgSetpt,ResidentialCommonElevator,ResidentialCommonEscalator,ResidentialCommonWtrHtrSetpt
"Kitchen, Commercial Food Preparation",5,0.5,275,475,1.5,0.578,1.6,0.15,0.15,150,150,17.53768,1.12,100,500,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt
Kitchenette or Residential Kitchen,5,0.5,275,475,1,0.36,1.6,0.15,0.15,150,150,3,0.5,100,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt
"Laboratory, Scientific",10,0.5,250,200,2,0.18,1.4,0.15,0,150,150,12.69264,0.28,500,1000,1.5,2,Laboratory,LabOccupancy,LabReceptacle,LabServiceHotWater,LabLights,LabGasEquip,LabRefrigeration,LabInfiltration,LabHVACAvail,LabHtgSetpt,LabClgSetpt,LabElevator,LabEscalator,LabWtrHtrSetpt
"Laboratory, Equipment Room",5,0.5,250,200,10,0.18,1.4,0.15,0,150,150,12.69264,0,500,1000,1.5,2,Laboratory,LabOccupancy,LabReceptacle,LabServiceHotWater,LabLights,LabGasEquip,LabRefrigeration,LabInfiltration,LabHVACAvail,LabHtgSetpt,LabClgSetpt,LabElevator,LabEscalator,LabWtrHtrSetpt
