ScheduleYearName,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk
ParkingElevator,12,31,ParkingElevatorWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkingHtgSetpt,12,31,ParkingHtgSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkingClgSetpt,12,31,ParkingClgSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkingInfiltration,12,31,ParkingInfiltrationWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkingEscalator,12,31,ParkingEscalatorWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkingGasEquip,12,31,ParkingGasEquipWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkingRefrigeration,12,31,ParkingRefrigerationWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkingWtrHtrSetpt,12,31,ParkingWtrHtrSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonOccupancy,12,31,ResidentialCommonOccupancyWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonLights,12,31,ResidentialCommonLightsWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonReceptacle,12,31,ResidentialCommonReceptacleWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonHVACAvail,12,31,ResidentialCommonHVACAvailWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonServiceHotWater,12,31,ResidentialCommonServiceHotWaterWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonGasEquip,12,31,ResidentialCommonGasEquipWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonHtgSetpt,12,31,ResidentialCommonHtgSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonClgSetpt,12,31,ResidentialCommonClgSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonInfiltration,12,31,ResidentialCommonInfiltrationWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonWtrHtrSetpt,12,31,ResidentialCommonWtrHtrSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResidentialCommonElevator,12,31,ResidentialCommonElevatorWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
