name,_id,run_start_time,run_end_time,status,status_message,openstudio_model_articulation_testing_scenario_builder.climate_zone,openstudio_model_articulation_testing_scenario_builder.scenario,openstudio_model_articulation_testing_scenario_builder.template,envelope_and_internal_load_breakdown.electric_equipment_total_heating_energy_annual,envelope_and_internal_load_breakdown.ext_roof_heat_gain,envelope_and_internal_load_breakdown.ext_roof_heat_loss,envelope_and_internal_load_breakdown.ext_wall_heat_gain,envelope_and_internal_load_breakdown.ext_wall_heat_loss,envelope_and_internal_load_breakdown.gas_equipment_total_heating_energy_annual,envelope_and_internal_load_breakdown.ground_heat_gain,envelope_and_internal_load_breakdown.ground_heat_loss,envelope_and_internal_load_breakdown.surface_window_heat_gain_energy_annual,envelope_and_internal_load_breakdown.surface_window_heat_loss_energy_annual,envelope_and_internal_load_breakdown.zone_infiltration_sensible_heat_gain_energy_annual,envelope_and_internal_load_breakdown.zone_infiltration_sensible_heat_loss_energy_annual,envelope_and_internal_load_breakdown.zone_lights_total_heating_energy_annual,envelope_and_internal_load_breakdown.zone_people_sensible_heating_energy_annual,openstudio_model_articulation_testing_scenario_builder.building_type,openstudio_results.annual_peak_electric_demand,openstudio_results.electricity_ip,openstudio_results.end_use_cooling,openstudio_results.end_use_exterior_equipment,openstudio_results.end_use_exterior_lighting,openstudio_results.end_use_fans,openstudio_results.end_use_generators,openstudio_results.end_use_heat_recovery,openstudio_results.end_use_heat_rejection,openstudio_results.end_use_heating,openstudio_results.end_use_humidification,openstudio_results.end_use_interior_equipment,openstudio_results.end_use_interior_lighting,openstudio_results.end_use_pumps,openstudio_results.end_use_refrigeration,openstudio_results.end_use_water_systems,openstudio_results.natural_gas_ip,openstudio_results.total_site_eui,openstudio_results.unmet_hours_during_occupied_cooling,openstudio_results.unmet_hours_during_occupied_heating
DOE Autogenerated 342,dbcbcb12-4143-449b-a10e-23dc969ac420,2019-08-13T15:27:44.160Z,2019-08-13T15:33:02.250Z,completed,completed normal,ASHRAE 169-2006-4A,s0 Prototype,90.1-2010,48441.792012693084,215516.0,189336.0,40455.0,57753.0,0.0,10276.7,81077.4,47955.18551651419,28698.365445454383,1652.763691364605,42829.02528270446,47240.599278009235,19578.664845074007,SmallOffice,17.840889999999998,50292.35577472779,14530.036454403153,0.0,11288.501902931608,18586.69372934415,0.0,0.0,0.0,10748.246144353017,0.0,48442.93301921365,47239.20527641573,0.0,0.0,23430.039214145203,2.6671806649780545,31.6744067157696,23.5,27.0
DOE Autogenerated 350,dbcec7dc-caf3-4658-ad02-8cbface8bfbe,2019-08-13T15:27:55.044Z,2019-08-13T15:33:11.755Z,completed,completed normal,ASHRAE 169-2006-8A,s0 Prototype,90.1-2010,48441.792012693084,131327.0,155184.8,33380.5,58365.3,0.0,30967.9,51453.0,34873.71081480425,65703.79630600862,8330.464917323528,39359.56536434862,48401.62029636447,20474.949002636113,SmallOffice,18.40291,49869.32728028056,4246.220699003661,0.0,11373.805443759808,19799.899643345198,0.0,0.0,0.0,85635.27682030822,0.0,48442.93301921365,48405.02033440111,0.0,0.0,25145.588201912306,72.89126112745112,44.17397136087888,1.33,152.0
DOE Autogenerated 293,dbdc6af9-4d06-4118-9067-27a8bbfaa2a8,2019-08-13T15:17:43.379Z,2019-08-13T15:23:07.919Z,completed,completed normal,ASHRAE 169-2006-7A,s2 Prototype - loads,90.1-2007,50981.18200373395,54764.2,107547.5,62435.4,94829.4,0.0,22630.6,54324.3,39377.841155065056,46571.96802569626,144.42219616397222,46199.42686963,68456.7196866106,20469.72183931896,SmallOffice,21.82712,66336.59665431111,5601.599181051705,0.0,29704.588550619363,20055.810265829794,0.0,0.0,0.0,93947.63296545601,0.0,50983.08290165334,68460.83060023091,0.0,0.0,25344.629797178106,67.74623124491929,53.45217631933513,2.0,73.33
DOE Autogenerated 291,dc227f40-9eae-4805-9f56-0af60948e714,2019-08-13T15:17:37.402Z,2019-08-13T15:23:07.179Z,completed,completed normal,ASHRAE 169-2006-6A,s2 Prototype - loads,90.1-2007,50981.18200373395,56529.7,94811.3,57872.7,84985.5,0.0,16146.3,63157.5,38775.96754068362,39038.92193400244,334.3291358939516,33367.4406773141,68456.7196866106,20282.943039824695,SmallOffice,22.33202,65704.95837676388,8046.967351460064,0.0,29761.457577838162,18738.344468594285,0.0,0.0,0.0,51798.20562512279,0.0,50983.08290165334,68460.83060023091,0.0,0.0,24861.24306581831,28.46756623046541,45.92074073107468,6.67,43.83
DOE Autogenerated 149,dc2669ac-2faa-4e34-82c0-2fd541f7408d,2019-08-13T15:00:53.928Z,2019-08-13T15:06:16.865Z,completed,completed normal,ASHRAE 169-2006-5A,s4 Prototype - setpoints,DOE Ref 1980-2004,84237.9610667569,55928.7,89996.1,62158.6,88921.1,0.0,18130.9,70464.6,38009.81482731474,62218.77886297107,3433.906996607438,124690.93694188027,99875.62056006628,17620.626016308455,SmallOffice,28.288259999999998,87345.29398878611,21581.795829534232,0.0,40737.17983106638,51599.16402985699,0.0,0.0,0.0,136352.97092827383,0.0,84241.98565344764,99871.48996741425,9.478171203133172,0.0,26301.925088694556,162.65395145093657,83.72951206939585,196.33,358.5
DOE Autogenerated 453,dc35e741-2319-4c2c-8e37-1d505533fc4b,2019-08-13T15:39:40.271Z,2019-08-13T15:45:00.802Z,completed,completed normal,ASHRAE 169-2006-3B,s2 Prototype - loads,90.1-2013,46695.806991703495,74364.0,79802.1,94552.9,93874.4,0.0,2389.7,88798.4,45180.741958474886,23476.907794411927,1322.1951676023562,5635.192828757785,42010.288649143295,19269.656755127107,SmallOffice,15.354450000000002,48622.69669889722,14330.994859137356,0.0,19126.949487922742,18179.132367609425,0.0,0.0,0.0,2890.842216955618,0.0,46698.94951783714,42007.25477228622,0.0,0.0,22851.87077075408,0.17060464917853954,30.18431252916272,10.67,7.17
DOE Autogenerated 174,dce44b2f-efa8-4f4a-98d3-3b949c8c2b4c,2019-08-13T15:05:54.855Z,2019-08-13T15:11:18.536Z,completed,completed normal,ASHRAE 169-2006-4A,s0 Prototype,90.1-2004,50981.18200373395,214811.5,190943.5,40233.6,57761.0,0.0,11803.0,86695.3,48660.24919381905,31375.038761306754,1878.6277857926,52180.20294586245,68456.7196866106,19561.91716914664,SmallOffice,22.204520000000002,64891.09010700834,21155.27812539324,0.0,23562.733610989068,21316.407035846507,0.0,0.0,0.0,17345.053301733707,0.0,50983.08290165334,68460.83060023091,0.0,0.0,24178.814739192723,5.575858344732414,41.255798468263784,42.0,40.0
DOE Autogenerated 478,dd027be5-0572-403b-840b-69b626685947,2019-08-13T15:44:26.621Z,2019-08-13T15:49:55.825Z,completed,completed normal,ASHRAE 169-2006-2A,s4 Prototype - setpoints,90.1-2013,46695.806991703495,64215.4,63277.0,80946.3,73586.6,0.0,2977.1,99291.0,41092.19666739676,17386.054756830836,1546.3544528711911,4352.478843120839,41831.22641521155,19075.383189921336,SmallOffice,16.20409,48475.4511527139,21003.62738614311,0.0,19126.949487922742,16349.845325404722,0.0,0.0,0.0,2151.54486311123,0.0,46698.94951783714,41827.16951942669,9.478171203133172,0.0,34225.676214513885,15.978284814037943,32.966395894908516,18.67,4.33
DOE Autogenerated 162,dd2b4c00-f5f7-46ec-b148-3e81eace7e96,2019-08-13T15:01:09.272Z,2019-08-13T15:06:22.231Z,completed,completed normal,ASHRAE 169-2006-4C,s5 Prototype - hvac,DOE Ref 1980-2004,84237.9610667569,62484.7,93374.0,64565.8,84757.0,0.0,11123.1,67438.8,38172.63283922782,51287.92410400873,2088.870778065173,103508.9048855599,99875.62056006628,17602.05285589373,SmallOffice,28.04262,83959.44332869722,13326.30871160524,0.0,40718.223488660115,48319.71679357291,0.0,0.0,0.0,79351.24931263093,0.0,84241.98565344764,99871.48996741425,9.478171203133172,0.0,26046.01446620996,105.40044628510503,71.22477946757002,185.67,311.33
DOE Autogenerated 19,dde37eef-d2c1-45b5-9386-2486db947fdf,2019-08-13T14:45:32.743Z,2019-08-13T14:50:39.617Z,completed,completed normal,ASHRAE 169-2006-3B,s1 Prototype - const,DOE Ref Pre-1980,84237.9610667569,107508.3,98776.2,110128.4,104622.1,0.0,8040.3,124731.7,96141.0080085481,30320.00829323496,10736.098921905384,55079.68448090624,99875.62056006628,16578.120988961495,SmallOffice,33.81306,107675.51861111111,61228.98597224028,0.0,41220.56656242617,80829.8440203197,0.0,0.0,0.0,30709.27469815148,0.0,84241.98565344764,99871.48996741425,0.0,0.0,13278.917855589574,43.985703710175585,74.7699977751272,360.67,211.33
